X,Y,Z,debugFlag
310.5705224584042,213.48351689280477,-0.4119967247189744,1 
310.57538004547416,213.40870315888264,-0.38819103029700974,-1 
307.62684328299247,213.63242863180187,0,-1 
312,212,-2.8112925579188115,-1 
308,212,-2.806352237521425,-1 
310.5705224584042,213.48351689280477,-0.4119967247189744,1 
310.57538004547416,213.40870315888264,-0.38819103029700974,-1 
307.62684328299247,213.63242863180187,0,-1 
312,212,-2.8112925579188115,-1 
308,212,-2.806352237521425,-1 
310.5705224584042,213.48351689280477,-0.4119967247189744,1 
310.57538004547416,213.40870315888264,-0.38819103029700974,-1 
307.62684328299247,213.63242863180187,0,-1 
312,212,-2.8112925579188115,-1 
308,212,-2.806352237521425,-1 
312.5417401635437,194.66740016332815,-0.01916084554369123,1 
312.54048754709333,194.65249714251655,-0.01867250757533171,-1 
311.27072783301963,194.6602785569319,0,-1 
316,192,-3.0342033354076414,-1 
312,192,-3.00299975833657,-1 
312.5417401635437,194.66740016332815,-0.01916084554369123,1 
312.54048754709333,194.65249714251655,-0.01867250757533171,-1 
311.27072783301963,194.6602785569319,0,-1 
316,192,-3.0342033354076414,-1 
312,192,-3.00299975833657,-1 
312.5417401635437,194.66740016332815,-0.01916084554369123,1 
312.54048754709333,194.65249714251655,-0.01867250757533171,-1 
311.27072783301963,194.6602785569319,0,-1 
316,192,-3.0342033354076414,-1 
312,192,-3.00299975833657,-1 
580.9602929638859,64.01788962197953,-0.003418675575337379,1 
580.9602929638859,64.01788962197953,-0.0034186755753371724,-1 
580.9457522514185,60.25675675673324,0,-1 
584,64,-3.3544067156425994,-1 
584,60,-3.367818409553998,-1 
580.9602929638859,64.01788962197953,-0.003418675575337379,1 
580.9602929638859,64.01788962197953,-0.0034186755753371724,-1 
580.9457522514185,60.25675675673324,0,-1 
584,64,-3.3544067156425994,-1 
584,60,-3.367818409553998,-1 
